2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:00:50.364 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:50.364 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:50.364 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,95,56,0},[{94,56},{93,56},{92,56}],0,0,0,[],0,0}
2014-06-05 21:00:50.559 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,56}
2014-06-05 21:00:50.767 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,57}
2014-06-05 21:00:50.975 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,58}
2014-06-05 21:00:51.180 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,59}
2014-06-05 21:00:51.377 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,60}
2014-06-05 21:00:51.574 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"_=_>_?"}
2014-06-05 21:00:51.574 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,61}
2014-06-05 21:00:51.574 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,62}
2014-06-05 21:00:51.575 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:51.575 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:00:51.575 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,95,62,0},[{95,63}],0,0,0,[],0,0}
2014-06-05 21:00:51.782 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,63}
2014-06-05 21:00:53.602 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"_?_@_A_B_C_D_E_F"}
2014-06-05 21:00:53.602 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,63}
2014-06-05 21:00:53.804 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,64}
2014-06-05 21:00:54.015 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,65}
2014-06-05 21:00:54.220 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,66}
2014-06-05 21:00:54.419 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,67}
2014-06-05 21:00:54.615 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,68}
2014-06-05 21:00:54.828 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,69}
2014-06-05 21:00:55.023 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,70}
2014-06-05 21:00:56.643 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"_F_G_H_I_J_K_L_M"}
2014-06-05 21:00:56.643 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,70}
2014-06-05 21:00:56.854 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,71}
2014-06-05 21:00:57.054 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,72}
2014-06-05 21:00:57.056 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:00:57.056 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
